epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,177.244,1.5611,1.76962,1.62617,0.53826,0.41096,0.39513,0.15331,2.02794,2.25912,2.0634,0.0005348,0.0005348,0.0005348
76,179.602,1.51541,1.7168,1.60366,0.5229,0.52552,0.46592,0.18407,1.89292,1.8248,1.97564,0.000515,0.000515,0.000515
77,181.919,1.56031,1.71894,1.61605,0.50529,0.53425,0.44857,0.17879,1.85858,1.7361,1.9052,0.0004952,0.0004952,0.0004952
78,184.23,1.48228,1.6949,1.55849,0.52427,0.45205,0.44887,0.18279,1.90506,1.75684,1.92798,0.0004754,0.0004754,0.0004754
79,186.563,1.54699,1.68286,1.59942,0.60182,0.43836,0.45209,0.18383,1.87907,1.91078,1.89138,0.0004556,0.0004556,0.0004556
80,188.86,1.51089,1.64594,1.56106,0.50553,0.38356,0.44767,0.18861,1.97503,2.13433,1.99372,0.0004358,0.0004358,0.0004358
81,191.19,1.49998,1.65424,1.57016,0.52047,0.47945,0.45111,0.17747,1.89141,1.91482,1.92901,0.000416,0.000416,0.000416
82,193.577,1.50371,1.68199,1.58098,0.57903,0.43343,0.46189,0.18379,1.83608,1.81873,1.92373,0.0003962,0.0003962,0.0003962
83,195.926,1.50622,1.65466,1.58548,0.39964,0.52055,0.41784,0.1735,1.94024,1.89684,1.92606,0.0003764,0.0003764,0.0003764
84,198.236,1.49128,1.65839,1.58403,0.62013,0.43836,0.48507,0.17754,2.04818,1.94368,2.02213,0.0003566,0.0003566,0.0003566
85,200.589,1.52595,1.67401,1.59242,0.63852,0.41096,0.48932,0.19771,1.89198,1.88128,1.96456,0.0003368,0.0003368,0.0003368
86,202.886,1.48317,1.64556,1.56484,0.50188,0.47945,0.45574,0.19044,1.86842,1.85105,1.95903,0.000317,0.000317,0.000317
87,205.235,1.47296,1.64413,1.57636,0.38251,0.46575,0.38488,0.1574,1.84349,1.837,1.90487,0.0002972,0.0002972,0.0002972
88,207.532,1.47538,1.60212,1.55291,0.56102,0.50685,0.48399,0.20312,1.82758,1.74656,1.87152,0.0002774,0.0002774,0.0002774
89,209.863,1.44936,1.62343,1.56271,0.51459,0.53425,0.47386,0.20379,1.85516,1.79052,1.91597,0.0002576,0.0002576,0.0002576
90,212.169,1.46081,1.59642,1.56146,0.44273,0.54795,0.41373,0.17458,1.86996,1.80666,1.95984,0.0002378,0.0002378,0.0002378
91,214.856,1.47324,1.57238,1.56293,0.43152,0.46794,0.42956,0.17063,1.86538,1.84578,1.92311,0.000218,0.000218,0.000218
92,217.305,1.44272,1.54148,1.55095,0.43283,0.46575,0.40184,0.16279,1.91454,1.92487,1.91596,0.0001982,0.0001982,0.0001982
93,219.628,1.4052,1.4954,1.52802,0.59707,0.42466,0.46015,0.19552,1.9571,1.79851,1.99374,0.0001784,0.0001784,0.0001784
94,221.915,1.37959,1.48005,1.50376,0.51834,0.52055,0.44788,0.19403,1.9777,1.77545,2.03176,0.0001586,0.0001586,0.0001586
95,224.244,1.44009,1.48288,1.54993,0.47458,0.45205,0.39028,0.16678,1.92318,1.89677,1.95619,0.0001388,0.0001388,0.0001388
96,226.579,1.39045,1.4595,1.52239,0.56264,0.46575,0.46926,0.19552,1.94123,1.85408,1.95924,0.000119,0.000119,0.000119
97,228.879,1.37024,1.398,1.50026,0.50827,0.43836,0.44487,0.19057,1.96475,1.86715,1.97967,9.92e-05,9.92e-05,9.92e-05
98,231.196,1.38642,1.4253,1.50872,0.51951,0.42466,0.42599,0.18605,1.95087,1.88048,1.97389,7.94e-05,7.94e-05,7.94e-05
99,233.498,1.39742,1.41667,1.51331,0.5306,0.41096,0.42482,0.18566,1.94062,1.91626,1.97724,5.96e-05,5.96e-05,5.96e-05
100,235.799,1.39241,1.41173,1.51585,0.50942,0.42466,0.44285,0.18715,1.93263,1.88097,1.96347,3.98e-05,3.98e-05,3.98e-05
